dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
dis,0,5,5,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,0,5,5,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,0,5,5,euclidean,majority,10,2,0.9838274932614556,0.9864864864864865,0.9972677595628415,0.9918478260869565
dis,0,5,5,euclidean,majority,10,3,0.9811320754716981,0.9837837837837838,0.9972602739726028,0.9904761904761905
dis,0,5,5,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,5,5,euclidean,majority,10,5,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,0,5,5,euclidean,majority,10,6,0.9811320754716981,0.9837837837837838,0.9972602739726028,0.9904761904761905
dis,0,5,5,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,5,5,euclidean,majority,10,8,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,0,5,5,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,0,sqrt(n),57,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,0,sqrt(n),57,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,0,sqrt(n),57,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,sqrt(n),57,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,0,n,3339,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,0,n,3339,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,0,n,3339,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,0,n,3339,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
