dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
lupus,0,5,5,euclidean,majority,5,0,0.6666666666666666,0.6,0.42857142857142855,0.5
lupus,0,5,5,euclidean,majority,5,1,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.5714285714285714
lupus,0,5,5,euclidean,majority,5,2,0.7058823529411765,0.75,0.42857142857142855,0.5454545454545454
lupus,0,5,5,euclidean,majority,5,3,0.8235294117647058,0.75,0.8571428571428571,0.7999999999999999
lupus,0,5,5,euclidean,majority,5,4,0.8235294117647058,0.75,0.8571428571428571,0.7999999999999999
lupus,0,sqrt(n),8,euclidean,majority,5,0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.4
lupus,0,sqrt(n),8,euclidean,majority,5,1,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.7142857142857143
lupus,0,sqrt(n),8,euclidean,majority,5,2,0.7647058823529411,0.8,0.5714285714285714,0.6666666666666666
lupus,0,sqrt(n),8,euclidean,majority,5,3,0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571
lupus,0,sqrt(n),8,euclidean,majority,5,4,0.7647058823529411,0.7142857142857143,0.7142857142857143,0.7142857142857143
lupus,0,n,69,euclidean,majority,5,0,0.6111111111111112,0.0,0.0,0.0
lupus,0,n,69,euclidean,majority,5,1,0.6111111111111112,0.0,0.0,0.0
lupus,0,n,69,euclidean,majority,5,2,0.5882352941176471,0.0,0.0,0.0
lupus,0,n,69,euclidean,majority,5,3,0.5882352941176471,0.0,0.0,0.0
lupus,0,n,69,euclidean,majority,5,4,0.5882352941176471,0.0,0.0,0.0
lupus,0,n,69,euclidean,averaged_inverse_square,5,0,0.6666666666666666,0.6,0.42857142857142855,0.5
lupus,0,n,69,euclidean,averaged_inverse_square,5,1,0.6111111111111112,0.5,0.42857142857142855,0.4615384615384615
lupus,0,n,69,euclidean,averaged_inverse_square,5,2,0.5294117647058824,0.4444444444444444,0.5714285714285714,0.5
lupus,0,n,69,euclidean,averaged_inverse_square,5,3,0.7647058823529411,0.7142857142857143,0.7142857142857143,0.7142857142857143
lupus,0,n,69,euclidean,averaged_inverse_square,5,4,0.8823529411764706,0.8571428571428571,0.8571428571428571,0.8571428571428571
lupus,1,5,5,euclidean,majority,5,0,0.7222222222222222,0.75,0.42857142857142855,0.5454545454545454
lupus,1,5,5,euclidean,majority,5,1,0.7222222222222222,0.6666666666666666,0.5714285714285714,0.6153846153846153
lupus,1,5,5,euclidean,majority,5,2,0.5882352941176471,0.5,0.2857142857142857,0.36363636363636365
lupus,1,5,5,euclidean,majority,5,3,0.6470588235294118,0.5714285714285714,0.5714285714285714,0.5714285714285714
lupus,1,5,5,euclidean,majority,5,4,0.7647058823529411,0.6666666666666666,0.8571428571428571,0.75
lupus,1,sqrt(n),8,euclidean,majority,5,0,0.7222222222222222,0.75,0.42857142857142855,0.5454545454545454
lupus,1,sqrt(n),8,euclidean,majority,5,1,0.8888888888888888,0.8571428571428571,0.8571428571428571,0.8571428571428571
lupus,1,sqrt(n),8,euclidean,majority,5,2,0.6470588235294118,0.6666666666666666,0.2857142857142857,0.4
lupus,1,sqrt(n),8,euclidean,majority,5,3,0.6470588235294118,0.5714285714285714,0.5714285714285714,0.5714285714285714
lupus,1,sqrt(n),8,euclidean,majority,5,4,0.6470588235294118,0.5555555555555556,0.7142857142857143,0.6250000000000001
lupus,1,n,69,euclidean,majority,5,0,0.6111111111111112,0.0,0.0,0.0
lupus,1,n,69,euclidean,majority,5,1,0.6111111111111112,0.0,0.0,0.0
lupus,1,n,69,euclidean,majority,5,2,0.5882352941176471,0.0,0.0,0.0
lupus,1,n,69,euclidean,majority,5,3,0.5882352941176471,0.0,0.0,0.0
lupus,1,n,69,euclidean,majority,5,4,0.5882352941176471,0.0,0.0,0.0
lupus,1,n,69,euclidean,averaged_inverse_square,5,0,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.4
lupus,1,n,69,euclidean,averaged_inverse_square,5,1,0.7222222222222222,0.6,0.8571428571428571,0.7058823529411764
