dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
spambase,0,5,5,euclidean,majority,10,0,0.8954869358669834,0.8924050632911392,0.8392857142857143,0.8650306748466258
spambase,0,5,5,euclidean,majority,10,1,0.9026128266033254,0.8713450292397661,0.8869047619047619,0.8790560471976402
spambase,0,5,5,euclidean,majority,10,2,0.8836104513064132,0.8888888888888888,0.8095238095238095,0.8473520249221184
spambase,0,5,5,euclidean,majority,10,3,0.9026128266033254,0.8895705521472392,0.8630952380952381,0.8761329305135952
spambase,0,5,5,euclidean,majority,10,4,0.9049881235154394,0.8809523809523809,0.8809523809523809,0.8809523809523809
spambase,0,5,5,euclidean,majority,10,5,0.8812351543942993,0.8986486486486487,0.7916666666666666,0.8417721518987343
spambase,0,5,5,euclidean,majority,10,6,0.9121140142517815,0.9171974522292994,0.8571428571428571,0.8861538461538463
spambase,0,5,5,euclidean,majority,10,7,0.8883610451306413,0.8903225806451613,0.8214285714285714,0.8544891640866873
spambase,0,5,5,euclidean,majority,10,8,0.8907363420427553,0.88125,0.8392857142857143,0.8597560975609757
spambase,0,5,5,euclidean,majority,10,9,0.9239904988123515,0.8994082840236687,0.9101796407185628,0.9047619047619048
spambase,0,sqrt(n),61,euclidean,majority,10,0,0.8646080760095012,0.9051094890510949,0.7380952380952381,0.8131147540983608
spambase,0,sqrt(n),61,euclidean,majority,10,1,0.8646080760095012,0.8936170212765957,0.75,0.8155339805825244
spambase,0,sqrt(n),61,euclidean,majority,10,2,0.836104513064133,0.8613138686131386,0.7023809523809523,0.7737704918032786
spambase,0,sqrt(n),61,euclidean,majority,10,3,0.836104513064133,0.8666666666666667,0.6964285714285714,0.7722772277227722
spambase,0,sqrt(n),61,euclidean,majority,10,4,0.9026128266033254,0.9205298013245033,0.8273809523809523,0.8714733542319748
spambase,0,sqrt(n),61,euclidean,majority,10,5,0.8242280285035629,0.8560606060606061,0.6726190476190477,0.7533333333333333
spambase,0,sqrt(n),61,euclidean,majority,10,6,0.8717339667458432,0.9071428571428571,0.7559523809523809,0.8246753246753247
spambase,0,sqrt(n),61,euclidean,majority,10,7,0.828978622327791,0.8692307692307693,0.6726190476190477,0.7583892617449665
spambase,0,sqrt(n),61,euclidean,majority,10,8,0.8574821852731591,0.8857142857142857,0.7380952380952381,0.8051948051948051
spambase,0,sqrt(n),61,euclidean,majority,10,9,0.9026128266033254,0.9375,0.8083832335329342,0.8681672025723473
